FIELD,TYPE,LENGTH,PRECISION
Seq,int,5,
Feature,str,2,
Phase,str,8,
Concession,str,6,
Sample_ID,str,8,
20mGridID,str,1,
Label,str,1,
E_planned,float,9,2
N_planned,float,9,2
E_actual,float,9,2
N_actual,float,9,2
Offset,float,9,2
Topas_Line,str,11,
Tool,str,7,
Logger,str,3,
WD_exp,float,5,2
WD_act,float,5,2
Start_Date,str,10,
End_Date,str,10,
Start_Time,str,5,
End_Time,str,5,
Minutes,int,3,
Dec_Hours,float,5,2
SlurryT,str,1,
Max_Pen,float,3,2
FW_Pen,float,3,2
Tot_Pen,float,3,2
SedT_Act,float,3,2
SedT_Exp,float,3,2
Sed_Tot,float,3,2
Sed_Diff,float,3,2
SOH_FWD,float,4,2
SOH_AFT,float,4,2
EOH_FWD,float,4,2
EOH_AFT,float,4,2
DTSB,float,5,2
TS_Act,float,5,2
TS_Calc,float,5,2
Theory_Mass,int,6,
OS_Weight,int,6,
FW_Reached,str,1,
EOH_Code,str,3,
FW_Type,str,7,
FW_Colour,str,7,
FW_Desc,str,13,
Epoch,str,11,
FW_Cleaning,str,4,
OS_Vol,str,2,
OS_wrnd,int,3,
% Large Cobbles,int,3,
PF_Vol,str,2,
PF_Clastics,int,3,
PF_Shell,int,3,
PF_Lignite,int,3,
PF_GAS,int,3,
GAS_Size,str,1,
GAS_Small,int,3,
G_Units,int,1,
G_Thickns,float,3,2
Unit_1,str,7,
m1,float,3,2
Unit_2,str,7,
m2,float,3,2
Unit_3,str,7,
m3,float,3,2
Unit_4,str,7,
m4,float,3,2
Unit_5,str,7,
m5,float,3,2
Unit_6,str,7,
m6,float,3,2
Unit_7,str,7,
m7,float,3,2
Unit_8,str,7,
m8,float,3,2
Unit_9,str,7,
m9,float,3,2
Unit_10,str,7,
m10,float,3,2
Unit_11,str,7,
m11,float,3,2
Unit_12,str,7,
m12,float,3,2
Unit_13,str,7,
m13,float,3,2
Unit_14,str,7,
m14,float,3,2
Unit_15,str,7,
m15,float,3,2
Unit_16,str,7,
m16,float,3,2
Unit_17,str,7,
m17,float,3,2
Unit_18,str,7,
m18,float,3,2
Unit_19,str,7,
m19,float,3,2
Unit_20,str,7,
m20,float,3,2
Unit_21,str,7,
m21,float,3,2
Check1,float,5,2
FW_Check,float,5,2
OS_Comp,str,255,
PF_Comp,str,255,
QZT,str,1,
QZ,str,1,
IGN,str,1,
JAS,str,1,
FEST,str,1,
RK,str,1,
AG,str,1,
EP,str,1,
MP,str,1,
Potential,str,2,
Comments,str,255,
Problems,str,255,
GeoProbs,str,255,
Clays,str,255,
HardLayers,str,255,
Jetting,str,1,
SedSample,str,1,
Smpl_photos,str,1,
Geotech,str,10,
Pen_CY,float,5,2
SVane_CY,float,5,2
Pen_FW,float,5,2
SVane_FW,float,5,2
GeoT_Comment,str,255,
Tracer_Rec,int,2,
Hist_tracers,int,2,
Status,str,12,
Area,float,5,2
Stones,int,5,
Group_wt,float,5,2
Est_Carats,float,5,2
Act_Carats,float,5,2
Est_Size,float,5,2
Act_Size,float,5,2
Est_Grade,float,5,2
Act_Grade,float,5,2
Est_Brkdwn,str,255,
Act_Brkdwn,str,255,
Shape,str,255,
Colour,str,255,
Clarity,str,255,
BrokenStones,int,5,
PercBroken,float,5,2
Remarks,str,255,
Number of canisters,float,5,2
Water Content (L/M/H),str,1,
% Shell,int,3,
% Clasts,int,3,
% Other,int,3,
% Whole Gastropods in shell,int,3,
Other Description,str,255,
