Relative Time,Time,Air Lift Pressure,Jet Water Pressure,Air Suction 1,Air Suction 2,Rack Drive Lowering,Swivel RPM,FWD,Torque,AFT,Pitch,Roll,Feed Result,Drill Depth,Tower Feed Setpoint,Drill Speed Setpoint
0:05:36,5:02:42,9.736,13.156,-0.401,-0.406,0,0,5.078,45.296,4.889,1.267,2.768,0,-16.54,57.142,66.223
0:05:38,5:02:44,9.723,13.16,-0.403,-0.406,0,0,5.071,45.296,4.86,1.183,2.753,0,-16.54,57.142,66.223
0:05:40,5:02:46,9.731,13.159,-0.413,-0.415,0,0,5.068,45.296,4.916,1.341,2.701,0,-16.54,57.142,66.223
0:05:42,5:02:48,9.751,13.149,-0.396,-0.399,0,0,5.071,45.296,4.843,1.215,2.775,0,-16.54,57.142,66.223
0:05:44,5:02:50,9.75,13.149,-0.398,-0.4,0,0,5.081,45.296,4.972,1.222,2.701,0,-16.54,57.142,66.223
0:05:46,5:02:52,9.764,13.155,-0.394,-0.398,56.252,0,5.076,91.784,4.971,1.127,2.74,0,-14.24,57.142,66.223
0:05:48,5:02:54,9.698,13.17,-0.433,-0.438,-3.824,0.256,5.071,109.664,4.969,0.737,2.82,105.094,-11.1,57.142,66.223
0:05:50,5:02:56,9.651,13.14,-0.473,-0.481,-26.554,3.134,5.068,102.512,4.899,1.334,2.809,78.492,-6.37,57.142,66.223
0:05:52,5:02:58,9.688,13.155,-0.448,-0.455,-41.374,6.266,5.068,98.936,4.85,1.173,2.709,132.563,-2.95,57.142,66.223
0:05:54,5:03:00,9.741,13.156,-0.425,-0.433,-72.065,6.54,5.068,97.744,4.806,1.117,2.717,132.563,-0.14,57.142,66.223
0:05:56,5:03:02,9.776,13.159,-0.369,-0.389,-56.669,6.54,5.071,96.552,4.961,1.161,2.772,92.016,4.67,57.142,66.223
0:05:58,5:03:04,9.761,13.174,-0.369,-0.381,-58.91,6.54,5.068,96.552,4.971,1.308,2.726,141.984,9.25,57.142,66.223
0:06:00,5:03:06,9.7,13.167,-0.429,-0.439,-84.626,6.543,5.068,95.36,4.969,1.149,2.763,127.758,12.5,57.142,72.845
0:06:02,5:03:08,9.74,13.165,-0.437,-0.441,-96.525,6.7,5.071,101.32,4.934,1.235,2.695,105.609,16.89,57.142,72.845
0:06:04,5:03:10,9.779,13.15,-0.394,-0.397,-93.457,6.945,5.071,101.32,4.972,1.205,2.736,105.609,22.02,57.142,72.845
0:06:06,5:03:12,9.817,13.167,-0.333,-0.341,-67.712,7.417,5.071,101.32,4.939,1.19,2.74,167.063,25.92,57.142,72.845
0:06:08,5:03:14,9.766,13.156,-0.367,-0.383,-66.504,7.489,5.071,100.128,4.969,1.205,2.718,108.656,29.18,57.142,72.845
0:06:10,5:03:16,9.75,13.17,-0.397,-0.404,-75.586,7.496,5.071,100.128,4.923,1.144,2.723,116.391,33.31,57.142,72.845
0:06:12,5:03:18,9.747,13.173,-0.404,-0.412,-94.874,7.496,5.071,100.128,4.934,1.291,2.668,116.391,39.02,57.142,72.845
0:06:14,5:03:20,9.769,13.169,-0.373,-0.391,-95.529,7.489,5.085,98.936,4.986,1.154,2.738,157.898,43.43,57.142,72.845
0:06:16,5:03:22,9.816,13.17,-0.365,-0.363,-83.676,7.496,5.068,98.936,4.971,1.129,2.738,136.359,46.37,57.142,72.845
0:06:18,5:03:24,9.834,13.187,-0.33,-0.341,-66.165,7.489,5.071,98.936,4.969,1.088,2.755,87.469,49.97,57.142,72.845
0:06:20,5:03:26,9.822,13.16,-0.325,-0.333,-72.101,7.489,5.071,98.936,4.981,1.257,2.703,167.906,56.46,57.142,72.845
0:06:22,5:03:28,9.816,13.165,-0.34,-0.347,-90.543,7.489,5.071,98.936,4.971,1.18,2.701,167.906,60.56,57.142,72.845
0:06:24,5:03:30,9.799,13.165,-0.357,-0.367,-94.112,7.489,5.068,97.744,4.944,1.087,2.748,143.273,62.99,57.142,72.845
0:06:26,5:03:32,9.774,13.167,-0.366,-0.374,-90.266,7.489,5.066,97.744,4.977,1.386,2.733,89.484,67.72,57.142,72.845
0:06:28,5:03:34,9.816,13.189,-0.343,-0.364,-75.889,7.496,5.068,97.744,4.797,1.242,2.715,132.891,72.22,57.142,72.845
0:06:30,5:03:36,9.819,13.173,-0.339,-0.345,-71.996,7.496,5.068,97.744,4.813,1.185,2.74,112.969,76.18,57.142,72.845
0:06:32,5:03:38,9.842,13.179,-0.317,-0.321,-70.59,7.489,5.068,96.552,4.994,1.227,2.754,112.969,79.57,57.142,72.845
0:06:34,5:03:40,9.856,13.177,-0.296,-0.309,-68.007,7.496,5.071,96.552,4.989,1.16,2.699,98.18,84.23,57.142,72.845
0:06:36,5:03:42,9.819,13.182,-0.323,-0.334,-97.137,7.489,5.06,96.552,4.914,1.338,2.751,135.211,89.04,57.142,72.845
0:06:38,5:03:44,9.859,13.173,-0.329,-0.33,-102.712,7.496,5.06,96.552,4.994,1.224,2.746,137.695,92.6,57.142,72.845
0:06:40,5:03:46,9.866,13.177,-0.29,-0.303,-71.442,7.489,5.063,96.552,4.997,1.255,2.691,97.945,95.72,57.142,72.845
0:06:42,5:03:48,9.869,13.17,-0.306,-0.313,-76,7.489,5.083,96.552,4.982,1.162,2.7,97.945,100.16,57.142,72.845
0:06:44,5:03:50,9.877,13.182,-0.303,-0.306,-82.352,7.489,5.081,96.552,4.904,1.308,2.693,126.891,105.07,57.142,72.845
0:06:46,5:03:52,9.845,13.169,-0.313,-0.32,-97.475,7.489,5.071,96.552,4.808,1.09,2.737,143.766,108.57,57.142,72.845
0:06:48,5:03:54,9.813,13.189,-0.339,-0.339,-108.86,7.496,5.071,96.552,4.948,1.165,2.676,102.984,112.06,57.142,72.845
0:06:50,5:03:56,9.846,13.174,-0.317,-0.32,-107.795,7.496,5.081,96.552,4.992,1.181,2.711,102.984,116.48,57.142,72.845
0:06:52,5:03:58,9.865,13.153,-0.308,-0.312,-96.748,7.496,5.056,96.552,4.933,1.245,2.748,142.969,120.96,57.142,72.845
0:06:54,5:04:00,9.852,13.179,-0.311,-0.315,-77.162,7.489,5.066,96.552,4.994,1.175,2.743,122.367,124.33,57.142,72.845
0:06:56,5:04:02,9.888,13.197,-0.309,-0.316,-78.658,7.496,5.06,96.552,4.883,1.242,2.743,92.086,128.23,57.142,72.845
0:06:58,5:04:04,9.826,13.167,-0.332,-0.338,-91.662,7.496,5.071,95.36,4.878,1.275,2.754,135.961,132.53,57.142,72.845
0:07:00,5:04:06,9.849,13.169,-0.322,-0.327,-92.316,7.496,5.078,95.36,4.986,1.359,2.717,135.961,136.34,57.142,72.845
0:07:02,5:04:08,9.855,13.149,-0.317,-0.318,-79.504,7.489,5.068,95.36,4.997,1.145,2.728,121.055,139.38,57.142,72.845
0:07:04,5:04:10,9.893,13.169,-0.282,-0.29,-60.266,7.496,5.071,95.36,4.994,1.078,2.716,107.32,143.35,57.142,72.845
0:07:06,5:04:12,9.899,13.174,-0.29,-0.299,-61.885,7.486,5.071,95.36,4.948,1.03,2.671,120.141,148.89,57.142,72.845
0:07:08,5:04:14,9.834,13.183,-0.331,-0.335,-79.978,7.489,5.071,95.36,4.855,1.189,2.84,142.289,152.85,57.142,72.845
0:07:10,5:04:16,9.827,13.183,-0.353,-0.364,-87.417,7.496,5.071,95.36,4.934,1.375,2.687,142.289,156.01,57.142,72.845
0:07:12,5:04:18,9.855,13.17,-0.324,-0.329,-81.388,7.496,5.083,95.36,4.921,1.174,2.761,102.047,160.28,57.142,72.845
0:07:14,5:04:20,9.849,13.167,-0.315,-0.32,-73.604,7.496,5.068,95.36,4.899,1.16,2.744,145.688,165.48,57.142,72.845
0:07:16,5:04:22,9.842,13.139,-0.316,-0.321,-70.906,7.486,5.068,95.36,4.88,1.238,2.683,157.617,169.7,57.142,72.845
0:07:18,5:04:24,9.846,13.193,-0.322,-0.325,-68.615,7.489,5.068,95.36,5.006,1.196,2.758,76.453,172.73,57.142,72.845
0:07:20,5:04:26,9.803,13.201,-0.348,-0.359,-79.324,7.496,5.071,95.36,4.994,0.979,2.771,76.453,176.54,57.142,72.845
0:07:22,5:04:28,9.834,13.189,-0.345,-0.349,-99.158,7.489,5.068,95.36,4.994,1.329,2.694,114.422,181.65,57.142,72.845
0:07:24,5:04:30,9.837,13.163,-0.324,-0.33,-103,7.499,5.083,95.36,5.002,1.361,2.739,150.398,185.15,57.142,72.845
0:07:26,5:04:32,9.832,13.177,-0.331,-0.332,-102.18,7.496,5.095,95.36,4.933,1.224,2.714,80.648,188.36,57.142,72.845
0:07:28,5:04:34,9.846,13.163,-0.338,-0.343,-76.986,7.489,5.073,95.36,4.923,1.237,2.842,80.648,192.73,57.142,72.845
0:07:30,5:04:36,9.83,13.182,-0.345,-0.35,-76.597,7.489,5.083,95.36,4.921,1.166,2.699,134.602,196.84,57.142,72.845
0:07:32,5:04:38,9.846,13.187,-0.342,-0.347,-80.338,7.489,5.083,95.36,4.944,1.244,2.76,128.133,199.88,57.142,72.845
0:07:34,5:04:40,9.834,13.193,-0.342,-0.352,-83.971,7.496,5.083,95.36,4.939,1.08,2.747,78.914,203.4,57.142,72.845
0:07:36,5:04:42,9.79,13.179,-0.37,-0.365,-105.101,7.489,5.083,95.36,4.894,1.352,2.721,141.023,208.1,57.142,72.845
0:07:38,5:04:44,9.832,13.182,-0.36,-0.36,-111.129,7.489,5.083,95.36,4.868,1.187,2.733,141.023,212.41,57.142,72.845
0:07:40,5:04:46,9.83,13.182,-0.325,-0.33,-93.072,7.489,5.095,94.168,4.813,1.008,2.743,138.82,215.61,57.142,72.845
0:07:42,5:04:48,9.819,13.165,-0.345,-0.347,-93.719,7.499,5.095,94.168,4.948,1.263,2.776,89.414,219.58,57.142,72.845
0:07:44,5:04:50,9.817,13.183,-0.351,-0.351,-104.32,7.489,5.09,94.168,4.866,1.228,2.725,125.367,224.52,57.142,72.845
0:07:46,5:04:52,9.84,13.184,-0.339,-0.341,-94.205,7.489,5.09,94.168,4.818,1.204,2.751,125.672,228.54,57.142,72.845
0:07:48,5:04:54,9.849,13.184,-0.344,-0.349,-97.532,7.496,5.09,94.168,4.818,1.225,2.825,125.672,231.33,57.142,72.845
0:07:50,5:04:56,9.819,13.2,-0.356,-0.361,-112.784,7.496,5.1,94.168,4.909,1.302,2.706,93.094,235.38,57.142,72.845
0:07:52,5:04:58,9.83,13.184,-0.357,-0.36,-115.23,7.496,5.095,94.168,4.823,1.442,2.641,121.664,240.28,57.142,72.845
0:07:54,5:05:00,9.834,13.179,-0.337,-0.341,-92.094,7.496,5.073,94.168,4.83,1.203,2.73,154.852,244.71,57.142,72.845
0:07:56,5:05:02,9.819,13.165,-0.346,-0.354,-85.561,7.489,5.078,94.168,4.856,1.157,2.79,94.758,247.41,57.142,72.845
